(252, 372, 292)
(257, 371, 292)
(263, 370, 292)
(268, 372, 292)
(264, 373, 292)
(260, 373, 292)
(255, 373, 292)
(250, 372, 293)
(256, 371, 293)
(264, 371, 293)
(273, 373, 293)
(267, 374, 293)
(259, 374, 293)
(254, 373, 293)
(248, 372, 294)
(255, 369, 294)
(260, 367, 294)
(267, 369, 294)
(275, 372, 294)
(267, 372, 294)
(260, 373, 294)
(254, 373, 294)
(246, 371, 295)
(252, 368, 295)
(259, 364, 295)
(264, 362, 295)
(268, 366, 295)
(272, 369, 295)
(276, 373, 295)
(269, 374, 295)
(262, 374, 295)
(256, 374, 295)
(250, 373, 295)
(254, 347, 296)
(259, 347, 296)
(268, 347, 296)
(265, 354, 296)
(267, 361, 296)
(272, 366, 296)
(279, 372, 296)
(266, 373, 296)
(256, 373, 296)
(250, 373, 296)
(245, 372, 296)
(251, 367, 296)
(256, 362, 296)
(257, 359, 296)
(257, 353, 296)
(251, 346, 297)
(258, 346, 297)
(265, 346, 297)
(272, 346, 297)
(268, 353, 297)
(270, 360, 297)
(275, 366, 297)
(281, 372, 297)
(271, 374, 297)
(262, 373, 297)
(252, 373, 297)
(244, 372, 297)
(251, 367, 297)
(255, 360, 297)
(255, 354, 297)
(253, 349, 297)
(250, 347, 298)
(259, 346, 298)
(267, 346, 298)
(273, 347, 298)
(271, 352, 298)
(270, 357, 298)
(272, 362, 298)
(276, 367, 298)
(281, 372, 298)
(271, 374, 298)
(260, 373, 298)
(251, 374, 298)
(244, 373, 298)
(242, 371, 298)
(247, 367, 298)
(250, 361, 298)
(255, 356, 298)
(253, 350, 298)
(249, 346, 299)
(257, 346, 299)
(264, 348, 299)
(271, 346, 299)
(276, 346, 299)
(274, 352, 299)
(273, 357, 299)
(277, 362, 299)
(279, 366, 299)
(284, 374, 299)
(275, 374, 299)
(263, 374, 299)
(254, 374, 299)
(245, 373, 299)
(242, 372, 299)
(247, 366, 299)
(250, 360, 299)
(252, 354, 299)
(247, 346, 300)
(254, 345, 300)
(263, 346, 300)
(273, 345, 300)
(278, 346, 300)
(274, 352, 300)
(273, 357, 300)
(277, 364, 300)
(284, 373, 300)
(272, 374, 300)
(261, 373, 300)
(250, 374, 300)
(243, 373, 300)
(240, 372, 300)
(247, 366, 300)
(250, 360, 300)
(251, 353, 300)
(246, 347, 301)
(251, 345, 301)
(261, 345, 301)
(269, 346, 301)
(277, 346, 301)
(278, 351, 301)
(276, 356, 301)
(279, 361, 301)
(280, 367, 301)
(284, 373, 301)
(276, 375, 301)
(269, 374, 301)
(258, 373, 301)
(248, 374, 301)
(240, 371, 301)
(245, 365, 301)
(249, 357, 301)
(249, 352, 301)
(246, 347, 302)
(250, 346, 302)
(260, 346, 302)
(270, 346, 302)
(281, 347, 302)
(279, 354, 302)
(279, 363, 302)
(285, 372, 302)
(276, 373, 302)
(266, 373, 302)
(257, 373, 302)
(250, 374, 302)
(238, 372, 302)
(246, 364, 302)
(248, 354, 302)
(243, 348, 303)
(249, 346, 303)
(260, 346, 303)
(275, 347, 303)
(282, 347, 303)
(280, 357, 303)
(280, 364, 303)
(286, 373, 303)
(277, 374, 303)
(268, 373, 303)
(257, 373, 303)
(249, 374, 303)
(238, 373, 303)
(243, 365, 303)
(246, 356, 303)
(243, 347, 304)
(249, 346, 304)
(258, 346, 304)
(268, 346, 304)
(278, 346, 304)
(285, 348, 304)
(282, 355, 304)
(281, 362, 304)
(283, 368, 304)
(286, 372, 304)
(280, 374, 304)
(269, 373, 304)
(258, 373, 304)
(250, 374, 304)
(242, 373, 304)
(237, 371, 304)
(243, 364, 304)
(246, 354, 304)
(242, 346, 305)
(248, 345, 305)
(257, 345, 305)
(263, 347, 305)
(272, 347, 305)
(283, 347, 305)
(284, 351, 305)
(282, 359, 305)
(283, 367, 305)
(287, 372, 305)
(280, 374, 305)
(273, 373, 305)
(263, 373, 305)
